1	1.02	0.98	1.03
60	1.01	0.98	1.07
120	1.01	1	1.03
180	1.02	0.98	1.05
240	0.98	0.95	1.01
300	1	0.98	1.01
360	1.01	0.97	1.03
420	0.97	0.91	0.99
480	0.99	0.96	1.02
540	0.93	0.89	1
600	1.04	0.99	1.1
660	1.06	1	1.13
720	1.21	1.1	1.3
780	1.17	1.09	1.27
840	1.31	1.19	1.5
900	1.1	1.06	1.16
960	1.31	1.22	1.63
1020	1.29	1.16	1.43
1080	1.21	1.15	1.6
1140	1.3	1.16	1.34
1200	1.35	1.23	1.41
1260	1.32	1.2	1.51
1320	1.34	1.27	1.52
1380	1.26	1.21	1.38
1440	1.32	1.22	1.51
1500	1.3	1.22	1.45
1560	1.14	1	1.2
1620	1.36	1.21	1.45
1680	1.2	1.13	1.33
1740	1.22	1.17	1.37
1800	1.25	1.14	1.4
1860	1.28	1.2	1.46
1920	1.11	1.04	1.22
2220	1.07	1.02	1.21
2520	1.07	1.01	1.13
2820	1.01	0.87	1.08
3120	1.01	0.87	1.06
3420	0.89	0.84	1.04
3720	0.97	0.95	1.06
4020	0.93	0.87	0.96
4320	0.91	0.87	0.97
4620	0.92	0.88	0.98
4920	0.91	0.86	0.94
5220	0.87	0.76	0.94
5520	0.89	0.82	0.92
5820	0.86	0.77	0.94
6120	0.77	0.7	0.94



