1	1.03	1	1.02	1
60	0.99	1	1.01	1.01
120	0.99	0	1.01	1.01
180	0.98	1.01	1.02	1
240	0.98	1	0.98	1
300	1.01	1	1	1
360	0.99	1	1.01	1
420	0.99	0.99	0.97	0.99
480	0.99	0.99	0.99	1
540	0.96	0.99	0.93	1
600	3.13	1.25	1.04	0.94
660	3.37	1.24	1.06	0.88
720	3.48	1.25	1.21	0.77
780	3.64	1.26	1.17	0.77
840	3.7	1.26	1.31	0.68
900	3.7	1.21	1.1	0.77
960	3.69	1.19	1.31	0.75
1020	3.69	1.27	1.29	0.76
1080	3.67	1.14	1.21	0.76
1140	3.46	1.1	1.3	0.79
1200	1.87	0.99	1.35	0.85
1260	1.2	1.13	1.32	0.85
1320	1.15	1.01	1.34	0.91
1380	1.12	0.99	1.26	0.91
1440	1.07	0.99	1.32	0.94
1500	1.06	1	1.3	0
1560	1.04	0.99	1.14	0.94
1620	1.02	0.99	1.36	0.94
1680	1.06	0.99	1.2	0.94
1740	1.08	1.01	1.22	0.95
1800	1.06	0.99	1.25	0.94
1860	1.03	1	1.28	0.94
1920	0	1.02	1.11	0.95
1980	0	1.01	0	0
2040	0.98	1	0	0.94
2100	0	0	0	0
2160	0	1	0	0
2220	0	0	1.07	0
2280	0	0	0	0
2340	0.99	0	0	0.96
2400	0	0	0	0
2460	0	1	0	0
2520	0	0	1.07	0
2580	0	0	0	0
2640	1.03	0	0	0.96
2700	0	0	0	0
2760	0	1.01	0	0
2820	0	0	1.01	0
2880	0	0	0	0
2940	1.04	0	0	0.96
3000	0	0	0	0
3060	0	1.01	0	0
3120	0	0	1.01	0
3180	0	0	0	0
3240	0.99	0	0	0.96
3300	0	0	0	0
3360	0	1.01	0	0
3420	0	0	0.89	0
3480	0	0	0	0
3540	1.01	0	0	0.97
3600	0	0	0	0
3660	0	1	0	0
3720	0	0	0.97	0
3780	0	0	0	0





