1	1	0.99	1.01
60	1	0.99	1.01
180	1.01	0.99	1.05
240	1	0.99	1.03
300	1	0.99	1.01
360	1	0.99	1.02
420	0.99	0.95	1.02
480	0.99	0.99	1.01
540	0.99	0.98	1.01
600	1.25	1.05	1.68
660	1.24	1.15	1.34
720	1.25	1.15	1.31
780	1.26	1.1	1.33
840	1.26	1.16	1.31
900	1.21	1.11	1.31
960	1.19	1.1	1.28
1020	1.27	1.13	1.4
1080	1.14	1.07	1.2
1140	1.1	1.04	1.17
1200	0.99	0.96	1.08
1260	1.13	1.09	1.27
1320	1.01	0.97	1.07
1380	0.99	0.97	1.04
1440	0.99	0.97	1.05
1500	1	0.98	1.02
1560	0.99	0.96	1.02
1620	0.99	0.98	1
1680	0.99	0.98	1.01
1740	1.01	0.98	1.05
1800	0.99	0.98	1
1860	1	0.98	1.03
1920	1.02	0.98	1.06
1980	1.01	0.98	1.03
2040	1	0.99	1.03
2160	1	0.98	1.02
2460	1	0.98	1.05
2760	1.01	0.99	1.04
3060	1.01	0.99	1.04
3360	1.01	1	1.03
3660	1	0.98	1.02
3960	1.01	0.99	1.04
4260	1.01	0.98	1.06
4560	1.02	0.99	1.08
4860	1.01	0.99	1.04
5160	1.01	0.99	1.03
5460	1.01	0.97	1.06
5760	1.02	1	1.06
6060	1	0.97	1.03







