1.11	6	0.75	3	1.82	16	3.04	2
1.36	21	0.73	6	1.8	2	3.55	2
1.41	16	0.83	7	1.77	5	3.09	3
2.58	56.8	0.74	4.2	1.11	1.4	4.22	6
2.3	41.8	0.81	4.2	1.23	-4.3	4.02	5
2.21	36.8	0.75	4.2	1.49	2.6	4.26	6
1.59	27.8	0.72	4.2	1.23	4.3	4.43	3
1.55	32.8	0.79	4.2	1.32	2.6	3.57	5
1.85	37.8	0.72	4.2	1.28	2.6	0	0
1.86	22.8	0.77	1.1	1.36	2.6	0	0
1.54	20	0.77	8.6	1.42	2.6	0	0
1.37	25	0.75	4.7	1.35	4.3	0	0
1.3	13	0.61	5	1.22	2.6	0	0
1.52	25	0.57	4	1.38	4.3	0	0
1.53	15	0.64	4	1.3	4.3	0	0
1.42	20	0.55	5	1.46	2.6	0	0
1.26	36.9	0.55	5	1.17	2.6	0	0
1.21	21.9	0.7	10.5	1.23	4.3	0	0
1.29	56.9	0.71	5.4	1.26	4.3	0	0
1.45	41.9	0.71	7	1.35	2.6	0	0
1.79	21.9	0.77	7	1.31	2.6	0	0
0	0	0.83	7	1.32	-2	0	0
0	0	0.74	7	1.31	1	0	0
0	0	0.69	10.5	1.34	2	0	0
0	0	0.71	5.4	1.25	0	0	0
0	0	0.78	5.4	1.23	2.2	0	0
0	0	0.77	7	1.2	2.2	0	0
0	0	0.81	5.4	1.35	3.6	0	0
0	0	0.73	8.6	1.2	-2.9	0	0
0	0	0	0	1.34	2.2	0	0
0	0	0	0	1.08	-4.4	0	0
0	0	0	0	1.15	2.2	0	0
0	0	0	0	1.24	-1.5	0	0
0	0	0	0	1.28	5	0	0












